Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-tjbf,checkpoint-pkst,checkpoint-agtd,checkpoint-pcn8,checkpoint-aey2,checkpoint-3te2,checkpoint-y7bn,Question Key,Response
2,1575201268704,01/12/2019 11:54:28,1575201268644,0,01/12/2019 11:54:28,10226,2,questionnaire-3aa4,,3448500,p113,944914,,complete,,,computer,Desktop or Laptop,Mac OS 10.14,Firefox 69.0,1366x768,1366x694,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1,7
3,1575201268877,01/12/2019 11:54:28,1575201268647,0,01/12/2019 11:54:28,10226,2,questionnaire-3aa4,,3448500,p113,944914,,complete,,,computer,Desktop or Laptop,Mac OS 10.14,Firefox 69.0,1366x768,1366x694,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1-quantised,7
4,1575201268877,01/12/2019 11:54:28,1575201268650,0,01/12/2019 11:54:28,10226,2,questionnaire-3aa4,,3448500,p113,944914,,complete,,,computer,Desktop or Laptop,Mac OS 10.14,Firefox 69.0,1366x768,1366x694,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2,4
5,1575201268877,01/12/2019 11:54:28,1575201268652,0,01/12/2019 11:54:28,10226,2,questionnaire-3aa4,,3448500,p113,944914,,complete,,,computer,Desktop or Laptop,Mac OS 10.14,Firefox 69.0,1366x768,1366x694,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2-quantised,4
6,1575201268877,01/12/2019 11:54:28,1575201268654,0,01/12/2019 11:54:28,10226,2,questionnaire-3aa4,,3448500,p113,944914,,complete,,,computer,Desktop or Laptop,Mac OS 10.14,Firefox 69.0,1366x768,1366x694,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3,2
7,1575201268877,01/12/2019 11:54:28,1575201268656,0,01/12/2019 11:54:28,10226,2,questionnaire-3aa4,,3448500,p113,944914,,complete,,,computer,Desktop or Laptop,Mac OS 10.14,Firefox 69.0,1366x768,1366x694,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3-quantised,2
8,1575201268877,01/12/2019 11:54:28,1575201268658,0,01/12/2019 11:54:28,10226,2,questionnaire-3aa4,,3448500,p113,944914,,complete,,,computer,Desktop or Laptop,Mac OS 10.14,Firefox 69.0,1366x768,1366x694,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4,1
9,1575201268877,01/12/2019 11:54:28,1575201268660,0,01/12/2019 11:54:28,10226,2,questionnaire-3aa4,,3448500,p113,944914,,complete,,,computer,Desktop or Laptop,Mac OS 10.14,Firefox 69.0,1366x768,1366x694,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4-quantised,1
10,1575201268877,01/12/2019 11:54:28,1575201268661,0,01/12/2019 11:54:28,10226,2,questionnaire-3aa4,,3448500,p113,944914,,complete,,,computer,Desktop or Laptop,Mac OS 10.14,Firefox 69.0,1366x768,1366x694,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,END QUESTIONNAIRE,45306
1,1575535861136,05/12/2019 08:51:01,1575535862873,0,05/12/2019 08:51:02,10226,2,questionnaire-3aa4,,3476374,p115,956371,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1536x722,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,BEGIN QUESTIONNAIRE,
2,1575535876633,05/12/2019 08:51:16,1575535878337,0,05/12/2019 08:51:18,10226,2,questionnaire-3aa4,,3476374,p115,956371,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1536x722,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1,6
3,1575535876727,05/12/2019 08:51:16,1575535878338,0,05/12/2019 08:51:18,10226,2,questionnaire-3aa4,,3476374,p115,956371,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1536x722,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1-quantised,6
4,1575535876727,05/12/2019 08:51:16,1575535878339,0,05/12/2019 08:51:18,10226,2,questionnaire-3aa4,,3476374,p115,956371,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1536x722,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2,6
5,1575535876727,05/12/2019 08:51:16,1575535878339,0,05/12/2019 08:51:18,10226,2,questionnaire-3aa4,,3476374,p115,956371,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1536x722,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2-quantised,6
6,1575535876727,05/12/2019 08:51:16,1575535878339,0,05/12/2019 08:51:18,10226,2,questionnaire-3aa4,,3476374,p115,956371,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1536x722,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3,2
7,1575535876727,05/12/2019 08:51:16,1575535878340,0,05/12/2019 08:51:18,10226,2,questionnaire-3aa4,,3476374,p115,956371,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1536x722,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3-quantised,2
8,1575535876727,05/12/2019 08:51:16,1575535878340,0,05/12/2019 08:51:18,10226,2,questionnaire-3aa4,,3476374,p115,956371,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1536x722,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4,2
9,1575535876727,05/12/2019 08:51:16,1575535878340,0,05/12/2019 08:51:18,10226,2,questionnaire-3aa4,,3476374,p115,956371,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1536x722,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4-quantised,2
10,1575535876727,05/12/2019 08:51:16,1575535878340,0,05/12/2019 08:51:18,10226,2,questionnaire-3aa4,,3476374,p115,956371,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 78.0.3904.108,1536x864,1536x722,Seventh training completed,Attitude climate change: Initial,1,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,END QUESTIONNAIRE,15467
