Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-tjbf,checkpoint-pkst,checkpoint-agtd,checkpoint-pcn8,checkpoint-aey2,checkpoint-3te2,checkpoint-y7bn,Question Key,Response
4,1574179642512,19/11/2019 16:07:22,1574179642371,0,19/11/2019 16:07:22,9424,11,questionnaire-9476,,3370853,p110,915579,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 78.0.3904.97,1440x900,1440x789,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2,4
5,1574179642512,19/11/2019 16:07:22,1574179642371,0,19/11/2019 16:07:22,9424,11,questionnaire-9476,,3370853,p110,915579,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 78.0.3904.97,1440x900,1440x789,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit2-quantised,4
6,1574179642512,19/11/2019 16:07:22,1574179642371,0,19/11/2019 16:07:22,9424,11,questionnaire-9476,,3370853,p110,915579,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 78.0.3904.97,1440x900,1440x789,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3,4
7,1574179642512,19/11/2019 16:07:22,1574179642371,0,19/11/2019 16:07:22,9424,11,questionnaire-9476,,3370853,p110,915579,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 78.0.3904.97,1440x900,1440x789,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit3-quantised,4
8,1574179642512,19/11/2019 16:07:22,1574179642372,0,19/11/2019 16:07:22,9424,11,questionnaire-9476,,3370853,p110,915579,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 78.0.3904.97,1440x900,1440x789,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4,3
9,1574179642512,19/11/2019 16:07:22,1574179642372,0,19/11/2019 16:07:22,9424,11,questionnaire-9476,,3370853,p110,915579,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 78.0.3904.97,1440x900,1440x789,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit4-quantised,3
10,1574179642512,19/11/2019 16:07:22,1574179642372,0,19/11/2019 16:07:22,9424,11,questionnaire-9476,,3370853,p110,915579,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 78.0.3904.97,1440x900,1440x789,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,END QUESTIONNAIRE,13144
1,1574787212792,26/11/2019 16:53:32,1574787212639,0,26/11/2019 16:53:32,9424,11,questionnaire-9476,,3422972,p104,932404,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 77.0.3865.120,1440x900,1440x789,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,BEGIN QUESTIONNAIRE,
2,1574787231249,26/11/2019 16:53:51,1574787231167,0,26/11/2019 16:53:51,9424,11,questionnaire-9476,,3422972,p104,932404,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 77.0.3865.120,1440x900,1440x789,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1,5
3,1574787231374,26/11/2019 16:53:51,1574787231169,0,26/11/2019 16:53:51,9424,11,questionnaire-9476,,3422972,p104,932404,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 77.0.3865.120,1440x900,1440x789,Seventh training completed,Attitude climate change: Final,2,First training session completed,Second training session completed,Third training session finished,Fourth training session completed,Fifth training session completed,Sixth training session completed ,Seventh training completed,ClimateBeliefInit1-quantised,5
